ID,ORG_CODE,ORG_SHORTNAME,ORG_TYPE,ORG_NAME,REPORT_ORG
417,ENE53,SPD,AO,AP Southern Power Distribution Co Ltd (SPDCL),ENE01
418,ENE54,NED,AO,New & Renewable Energy Development Corporation of AP Ltd (NEDCAP),ENE01
419,ENE55,EPD,AO,AP Eastern Power Distribution Co Ltd (EPDCL),ENE01
421,ENE57,PFC,AO,AP Power Finance Corporation Ltd,ENE01
424,ENE60,ACL,AO,AP Aviation Corporation Ltd,INI01
425,ENE61,ECM,AO,AP State Energy Conservation Mission Society,ENE01
427,ENE63,GDC,AO,AP Gas Distribution Corporation Ltd,INI01
430,ENE66,SPC,AO,AP Solar Power Corporation,ENE01
431,ENE67,EDC,AO,AP State Energy Efficiency Devlopment Corporation Ltd,ENE01
1766,ENE70,CPD,AO,AP Central Power Distribution Co Ltd (CPDCL),ENE01
1778,ENE71,GEC,AO,AP Green Energy Corporation Limited,ENE01
432,ESE13,SSA,AO,Samagra Shiksha,ESE01
433,ESE51,BIE,AO,Board of Intermediate Education,ESE01
434,ESE52,WID,AO,AP Education and Welfare Infrastructure Development Corporation (APEWIDC),ESE01
435,ESE53,REI,AO,AP Residential Educational Institutions Society,ESE01
436,ESE54,CLI,AO,State Central Library,ESE01
437,ESE55,SCE,AO,State Council of Eduction Research and Training (SCERT),ESE01
1781,ESE56,TBP,AO,A.P. Government Text Book Press,ESE01
1801,EWS51,BRW,AO,AP Brahmin Welfare Corporation,EWS01
1807,EWS52,AVW,AO,AP State Arya Vysya Welfare and Development Corporation,EWS01
1808,EWS53,RDW,AO,AP Reddy Welfare and Development Corporation,EWS01
1809,EWS54,KMW,AO,AP Kamma Welfare and Development Corporation,EWS01
441,FCS04,CDR,AO,State Consumer Disputes Redressal Commission,FCS01
442,FCS51,CSC,AO,AP State Civil Supplies Corporation,FCS01
443,FCS52,SBZ,AO,AP State Cooperative Consumers Federation (SUPER BAZAR),FCS01
444,FCS53,AFC,AO,AP State Food Commission,FCS01
445,FIN51,CFS,AO,AP Centre for Financial Systems and Services,FIN01
1771,FIN52,GIC,AO,AP General Insurance Corporation Ltd,FIN01
1806,FIN53,FSC,AO,AP State Financial Services Corporation Ltd,FIN01
446,GAD03,PSC,AO,AP Public Service Commission,GAD01
447,GAD04,TDP,AO,Tribunal for Disciplinary Proceedings,GAD01
448,GAD08,LOK,AO,AP Lokayukta and Upa lokayukta,GAD01
449,GAD12,VGC,AO,AP Vigilance Commission,GAD01
450,GAD13,HRD,AO,AP Human Resources Development Institute,GAD01
452,GAD17,AAT,AO,AP Administrative Tribunal,GAD01
453,GAD19,INF,AO,AP Information Commission,GAD01
454,GAD51,EDB,AO,AP Economic Development Board,INC01
455,GAD52,HRC,AO,AP Human Rights Commission,GAD01
456,GAD53,NRT,AO,AP NRT Society,GAD01
457,GAD54,FLM,AO,"AP State Film, TV and Theatre Development Corporation Ltd",GAD01
458,GAD55,PRA,AO,AP Press Academy,GAD01
1752,GAD58,OSC,AO,AP Corporation for Outsourced Services (APCOS),GAD01
726,GAD59,ADC,AO,AP Digital Corporation Ltd,GAD01
460,HMF52,MHI,AO,"AP Health, Medical Housing and Infrastructure Development Corporation",HMF01
461,HMF53,VTR,AO,Dr.Nandamuri Taraka Rama Rao Vaidya Seva Trust,HMF01
462,HMF54,AID,AO,AP State Aids Control Society,HMF01
463,HMF55,ARO,AO,AP Medical and Aromatic Plants Board,HMF01
464,HMF56,PRM,AO,AP Para Medical Board,HMF01
465,HMF57,YOG,AO,AP Yogadhyayana Parishad,HMF01
466,HMF58,UHS,AO,Dr. NTR University of Health Sciences,HMF01
684,HMF59,VIM,AO,Sri Venkateswara Institute of Medical Sciences,HMF01
1734,HMF60,AMZ,AO,AP MedTech Zone Pvt Ltd,INC01
1768,HMF61,MER,AO,AP Medical Education and Research Corporation,HMF01
1819,HMF62,PMC,AO,AP Pharmacy Council,HMF01
467,HOM10,FRT,AO,AP Fire services and Civil Defence Training Institute,HOM01
468,HOM51,PLH,AO,AP State Police Housing Corporation,HOM01
1799,HOM52,PCA,AO,State Police Complaints Authority,HOM01
469,HOU02,WSH,AO,AP Weaker Sections Housing Programme,HOU01
470,HOU51,HBO,AO,AP Rural Housing Board (APRHB),HOU01
471,HOU52,HSC,AO,AP Cooperative Housing Societies Federation Ltd,HOU01
1795,HOU53,SHC,AO,AP State Housing Corporation Ltd,HOU01
472,ICD51,IRC,AO,AP State Irrigation Development Corporation,ICD01
473,ICD52,WRD,AO,AP Water Resources Development Corporation,ICD01
474,ICD53,WAL,AO,"Water and Land Management, Training and Research Institute (WALMTARI)",ICD01
475,INC51,SFC,AO,AP State Finance Corporation (APSFC),INC01
476,INC52,IIC,AO,AP Industrial Infrastructure Corporation (APIIC),INC01
477,INC53,IDC,AO,AP Industrial Development Corporation (APIDC),INC01
478,INC54,TPC,AO,AP Trade Promotion Corporation (APTPC),INC01
479,INC55,HDC,AO,AP Handicrafts Development Corporation (LEPAKSHI),INC01
480,INC56,APC,AO,AP State Handloom Weavers Cooperative Society Ltd (APCO),INC01
481,INC57,KVI,AO,AP Khadi Village Industries Board (APKVIB),INC01
482,INC58,MDC,AO,AP Mineral Development Corporation,INC01
484,INC60,LID,AO,Leather Industries Development Corporation of AP (LIDCAP),SOW01
485,INC61,ILC,AO,Krishnapatnam International Leather Complex (KPILC),INC01
486,INC62,API,AO,AP Invest,INC01
1732,INC63,CDS,AO,The Chodavaram Co Operative Sugars Ltd,INC05
1737,INC64,APM,AO,"AP Micro, Small and Medium Enterprises Development Corporation",INC01
1741,INC65,YSC,AO,Y.S.R. Steel Corporation Limited,INC01
1785,INC66,MTZ,AO,Andhra Pradesh Med Tech Zone Ltd,INC01
1787,INC67,NKI,AO,NICDIT Krishnapatnam Industrial City Development Limited (NKICDL),INC01
